Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
left_ring_1,-0.000213077981217007,0.0129666847537095,-0.00700007615112344,0,0,0,0.00374550195871295,5.64051994482281E-07,-1.01454316838492E-08,9.87601532579025E-12,2.402351413199E-07,-6.94489318147882E-12,5.8930433044849E-07,0,0,0,0,0,0,package://RH56F1_L/meshes/left_ring_1.STL,1,1,1,1,0,0,0,0,0,0,package://RH56F1_L/meshes/left_ring_1.STL,,镜向1..0103_食指手指_asm.063000-3/镜向1..01063-指腹左壳.063000-1,l_9,l_9a,left_ring_1_joint,revolute,0.00070746,0.0030876,0.13643,1.5184,0,0,base_link,0,0,-1,1,2,0,1,,,,,,,,
left_ring_2,-0.00338946732098707,0.0177134254833675,-0.00599979150274285,0,0,0,0.00550936445753654,8.41167919592687E-07,-1.48807127938653E-07,-4.62043491468518E-12,1.60207641514252E-07,-1.45821106224482E-11,8.58197447832158E-07,0,0,0,0,0,0,package://RH56F1_L/meshes/left_ring_2.STL,1,1,1,1,0,0,0,0,0,0,package://RH56F1_L/meshes/left_ring_2.STL,,镜向1..0103_食指手指_asm.063000-3/镜向1食指指尖063000-1,l_10,l_10a,left_ring_2_joint,revolute,0.0031056,0.032854,-0.001,0,0,0,left_ring_1,0,0,1,1,2,0,1,,,,,,,,
ring_force_sensor,-0.000209715894633783,-0.0123187686132097,-0.00640384736210899,0,0,0,0.00550936445753654,8.56921804193784E-07,-3.0898851396518E-08,-1.49650835264559E-09,1.30873292377565E-07,-1.82545497515184E-08,8.71777912367748E-07,0,0,0,0,0,0,package://RH56F1_L/meshes/ring_force_sensor.STL,1,1,1,1,0,0,0,0,0,0,package://RH56F1_L/meshes/ring_force_sensor.STL,,镜向1..0103_食指手指_asm.063000-3/镜向1食指指尖063000-1,l_ring_pad,,ring_force_sensor_joint,fixed,0.005139,0.028671,-0.0059996,2.4366,1.5033,2.2541,left_ring_2,0,0,0,,,,,,,,,,,,
ring_tip,-0.00100385930577584,-0.0177521786857137,-0.0152723548834053,0,0,0,0.00550936445753653,8.56550971379821E-07,-2.93224884590969E-08,-1.85955960574394E-08,3.36004075085784E-07,-3.31751008727301E-07,6.67017962473491E-07,0,0,0,0,0,0,package://RH56F1_L/meshes/ring_tip.STL,1,1,1,1,0,0,0,0,0,0,package://RH56F1_L/meshes/ring_tip.STL,,镜向1..0103_食指手指_asm.063000-3/镜向1食指指尖063000-1,l_ring_tip,,ring_tip_joint,fixed,0.0049188,0.039631,-0.006,1.5417,1.5157,1.889,left_ring_2,0,0,0,,,,,,,,,,,,
left_little_1,-0.000213140147453405,0.0129666359299509,-0.00700021372568446,0,0,0,0.00374541846395987,5.64045649313152E-07,-1.01459458924215E-08,1.39653842230382E-11,2.40229619385331E-07,-5.51873069977148E-12,5.89299160307889E-07,0,0,0,0,0,0,package://RH56F1_L/meshes/left_little_1.STL,1,1,1,1,0,0,0,0,0,0,package://RH56F1_L/meshes/left_little_1.STL,,镜向1..0104_小指手指_asm.063000-3/镜向1..01063-指腹左壳.063000-1,l_11,l_11a,left_little_1_joint,revolute,0.00070753,0.021094,0.13531,1.4661,0,0,base_link,0,0,-1,1,2,0,1,,,,,,,,
left_little_2,-0.00295882587242731,0.0145086239093983,-0.00635658940711542,0,0,0,0.0044511824282837,4.81002355882549E-07,-1.08597630209528E-07,-3.16701838939887E-11,1.30920470195188E-07,9.32560962037386E-12,4.97891436975704E-07,0,0,0,0,0,0,package://RH56F1_L/meshes/left_little_2.STL,1,1,1,1,0,0,0,0,0,0,package://RH56F1_L/meshes/left_little_2.STL,,镜向1..0104_小指手指_asm.063000-3/镜向1小指指尖063000-1,l_12,l_12a,left_little_2_joint,revolute,0.0031057,0.032854,-0.001,0,0,0,left_little_1,0,0,1,1,2,0,1,,,,,,,,
little_force_sensor,-0.000486995031034054,-0.00853489982845629,-0.00651155949691547,0,0,0,0.00445118180675324,4.94566017664153E-07,-3.62949417004605E-08,-3.60566974276025E-09,1.05774758660243E-07,-3.14524384494362E-08,5.09473435156785E-07,0,0,0,0,0,0,package://RH56F1_L/meshes/little_force_sensor.STL,1,1,1,1,0,0,0,0,0,0,package://RH56F1_L/meshes/little_force_sensor.STL,,镜向1..0104_小指手指_asm.063000-3/镜向1小指指尖063000-1,l_little_pad,,little_force_sensor_joint,fixed,0.0051314,0.021582,-0.0063543,2.0609,1.4616,1.858,left_little_2,0,0,0,,,,,,,,,,,,
little_tip,-0.00160676343735405,-0.0143780070321105,-0.0134619377604817,0,0,0,0.00445118202393793,4.94626645047848E-07,-2.91942450066744E-08,-2.13558550848533E-08,2.36850025476879E-07,-1.91672477554897E-07,3.78337611564959E-07,0,0,0,0,0,0,package://RH56F1_L/meshes/little_tip.STL,1,1,1,1,0,0,0,0,0,0,package://RH56F1_L/meshes/little_tip.STL,,镜向1..0104_小指手指_asm.063000-3/镜向1小指指尖063000-1,l_little_tip,,little_tip_joint,fixed,0.0051203,0.032544,-0.0063511,1.554,1.4608,1.8824,left_little_2,0,0,0,,,,,,,,,,,,
plam_1,-0.00202802186820708,-0.200582384283329,0.0556219818066263,0,0,0,0.0730232349830412,1.05347233114506E-05,-3.36091748322915E-08,3.1250972484424E-07,1.08915003900343E-05,4.69082713666239E-08,8.97465944555238E-06,0,0,0,0,0,0,package://RH56F1_L/meshes/plam_1.STL,1,1,1,1,0,0,0,0,0,0,package://RH56F1_L/meshes/plam_1.STL,,镜向1..0103_食指手指_asm.0631000-3/镜向1..01063四指-小推杆.063000-1;镜向1..0103_食指手指_asm.0631000-3/镜向1..01063四指-电缸推杆.063000-1;镜向1..0103_食指手指_asm.0631000-3/镜向1..01063折叠电缸0_5mm_4_15.063000-1;镜向1..0103_食指手指_asm.0631000-3/镜向1..01063四指-手指座.063000-1;镜向1..01063手腕.063000-2;镜向1..0102_中指手指_asm.063000-4/镜向1..01063折叠电缸0_5mm_4_15.063000-1;镜向1..0102_中指手指_asm.063000-4/镜向1..01063四指-小推杆.063000-1;镜向1..0102_中指手指_asm.063000-4/镜向1..01063四指-手指座.063000-1;镜向1..0102_中指手指_asm.063000-4/镜向1..01063四指-电缸推杆.063000-1;镜向1..0104_小指手指_asm.063000-3/镜向1..01063四指-电缸推杆.063000-1;镜向1..0104_小指手指_asm.063000-3/镜向1..01063四指-手指座.063000-1;镜向1..0104_小指手指_asm.063000-3/镜向1..01063折叠电缸0_5mm_4_15.063000-1;镜向1..0104_小指手指_asm.063000-3/镜向1..01063四指-小推杆.063000-1;镜向1..01063手掌指根嵌件R.063000-2;镜向1..0103_食指手指_asm.063000-3/镜向1..01063折叠电缸0_5mm_4_15.063000-1;镜向1..0103_食指手指_asm.063000-3/镜向1..01063四指-小推杆.063000-1;镜向1..0103_食指手指_asm.063000-3/镜向1..01063四指-手指座.063000-1;镜向1..0103_食指手指_asm.063000-3/镜向1..01063四指-电缸推杆.063000-1;镜向1..01063折叠电缸0_5mm_4_15.063000-2;镜向1..0101_拇指座_asm.063000-2,plam,,plam_1_joint,fixed,0,0.20007,0.0305,0,0,0,base_link,0,0,0,,,,,,,,,,,,
plam_2,0.00738877558367422,0.0028685143578773,0.0491990009538881,0,0,0,0.0621605665465043,7.42627311403438E-05,-1.51062288185372E-06,-1.38221866903039E-06,4.54002453711238E-05,3.52845387182102E-06,3.50303789099899E-05,0,0,0,0,0,0,package://RH56F1_L/meshes/plam_2.STL,1,1,1,1,0,0,0,0,0,0,package://RH56F1_L/meshes/plam_2.STL,,镜向下000-2,l_plam,,plam_2_joint,fixed,0,-0.20007,0,0,0,0,plam_1,0,0,0,,,,,,,,,,,,
plam_3,-0.0145080707706353,-0.00297062755370375,0.0599886430688305,0,0,0,0.0503941523376846,7.4429015129335E-05,2.1155034170725E-06,3.52673443243065E-07,4.06594932989102E-05,-3.15566621910586E-06,4.24832389557589E-05,0,0,0,0,0,0,package://RH56F1_L/meshes/plam_3.STL,1,1,1,1,0,0,0,0,0,0,package://RH56F1_L/meshes/plam_3.STL,,镜向上000-2,l_plam,,plam_3_joint,fixed,0,0,0,0,0,0,plam_2,0,0,0,,,,,,,,,,,,
plam_force_sensor,0.00135083432691963,-0.00241176672948407,-0.00177409386471654,0,0,0,0.00449423213489162,2.77343430370559E-07,9.29194202733673E-12,-1.13995686775868E-12,1.25941926345234E-06,5.96425032363731E-09,1.53055306696602E-06,0,0,0,0,0,0,package://RH56F1_L/meshes/plam_force_sensor.STL,1,1,1,1,0,0,0,0,0,0,package://RH56F1_L/meshes/plam_force_sensor.STL,,镜向CGQ000-2,l_plam_force_sensor,,plam_force_sensor_joint,fixed,0.01594,-0.0013505,0.073746,1.5708,0,1.5708,plam_2,0,0,0,,,,,,,,,,,,
